name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Gomez,MID,Brighton,0.0,0,0,8,0,1.3,169,0.0,0.0,0.0,0.0,70,1,0,3.1,12.4,2025-10-05T13:00:00Z,76,20,0,0,0,0,7,0,0.1,1,17.0,2,-375,29,404,4.9,False,0,7
Milner,MID,Brighton,0.0,0,0,6,0,20.1,170,0.0,0.0,0.0,0.0,70,0,0,2.5,5.2,2025-10-05T13:00:00Z,13,20,0,0,0,0,7,0,0.1,0,0.0,1,-54,213,267,5.0,False,0,7
Sarmiento,MID,Brighton,0.0,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-15,0,15,4.9,False,0,7
Watson,MID,Brighton,0.0,0,0,0,0,0.0,172,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,5,22,17,4.9,False,0,7
Wieffer,MID,Brighton,0.0,0,0,8,0,26.6,173,0.0,0.0,0.0,0.0,70,1,0,4.4,7.4,2025-10-05T13:00:00Z,69,20,0,0,0,0,7,0,0.1,1,10.0,1,192,237,45,4.9,False,1,7
Yalcouye,MID,Brighton,0.0,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-4,0,4,5.0,False,0,7
Knight,MID,Brighton,0.0,0,0,0,0,0.0,175,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.1,0,0.0,0,4,138,134,4.5,False,0,7
Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,176,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-39,0,39,4.5,False,0,7
Moran,MID,Brighton,0.0,0,0,0,0,0.0,177,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-27,0,27,4.5,False,0,7
Welbeck,FWD,Brighton,0.0,0,0,-3,0,13.4,178,0.0,0.0,0.0,0.0,70,1,0,1.7,0.0,2025-10-05T13:00:00Z,90,20,0,0,0,0,7,0,2.7,1,4.0,1,39459,42561,3102,6.3,False,1,7
Ferguson,FWD,Brighton,0.0,0,0,0,0,0.0,179,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-7,0,7,5.5,False,0,7
Tzimas,FWD,Brighton,0.0,1,0,11,0,20.5,180,0.0,0.0,0.0,0.0,70,0,0,5.1,19.0,2025-10-05T13:00:00Z,20,20,0,0,0,0,7,0,0.1,1,11.0,4,11,203,192,5.3,False,0,7
Kostoulas,FWD,Brighton,0.0,0,0,0,0,0.0,181,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.3,0,0.0,0,-75,446,521,4.8,False,0,7
